,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
225,Entre 3 y 5 años,10000,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,200.0,250.0,8
226,Entre 3 y 5 años,25,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,30.0,1.0,7
227,Más de 5 años,130,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy insatisfecho,No,No,30.0,1.0,7
228,Más de 5 años,1000,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,No,3.0,31.0,4
229,Entre 1 y 3 años,100,1 vez al día,"Efectivo, Transferencia",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,30.0,15.0,9
230,Entre 1 y 3 años,200,2 veces al mes,"Efectivo, Tarjeta de debito, transferencia",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,Sí,30.0,10.0,8
231,Más de 5 años,600,1 vez al mes,CoDi/Mercado Pago/Paypal/otras pasarelas de pago,No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy insatisfecho,Sí,No,70.0,20.0,5
232,Entre 0 y 6 meses,20,1 vez a la semana,"Efectivo, Tarjeta de debito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,Sí,Sí,20.0,5.0,9
233,Entre 1 y 3 años,8,2 veces al mes,Tarjeta de debito,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Llamadas telefónicas,Llamadas telefónicas,Algo insatisfecho,No,Sí,5.0,6.0,2
234,Entre 3 y 5 años,200,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,15.0,1.0,1
235,Entre 3 y 5 años,2,3 veces a la semana ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,Sí,No,5.0,10.0,9
236,Más de 5 años,100,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,Sí,Sí,30.0,15.0,6
237,Más de 5 años,10,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,5.0,2.0,7
238,Más de 5 años,2000,2 veces a la semana,Efectivo,Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy satisfecho,No,No,4.0,5.0,7
239,Más de 5 años,500,2 veces al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy insatisfecho,No,No,20.0,25.0,9
240,Entre 0 y 6 meses,6,3 veces a la semana ,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy insatisfecho,No,No,10.0,1.0,5
241,Entre 0 y 6 meses,12,2 veces a la semana,"Efectivo, Transferencia",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta, Rappi",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,15.0,20.0,9
242,Entre 1 y 3 años,4,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta, Rappi","Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,No,No,4.0,10.0,10
243,Entre 3 y 5 años,17,Cada 1 y 2 semanas,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta, Rappi","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,10.0,50.0,8
244,Más de 5 años,100,1 vez al mes,Efectivo,No,No,Na,Llamadas telefónicas,Visitas personales,Algo satisfecho,Sí,No,30.0,15.0,8
245,Entre 0 y 6 meses,8,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Algo satisfecho,No,Sí,20.0,40.0,7
246,Más de 5 años,30,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Mensajes de texto",Visitas personales,Muy satisfecho,Sí,Sí,20.0,4.0,9
247,Más de 5 años,300,2 veces al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,10.0,30.0,9
248,Más de 5 años,ni ifea,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,15.0,1.0,8
249,Más de 5 años,50,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,10.0,25.0,8
250,Más de 5 años,8,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,Plataformas de pedidos en línea,Llamadas telefónicas,"Visitas personales, Software o plataformas compartidas",Muy satisfecho,No,No,150.0,50.0,8
251,Entre 3 y 5 años,30,2 veces a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Plataformas de pedidos en línea,Visitas personales,"Visitas personales, Llamadas telefónicas",Muy satisfecho,Sí,No,15.0,5.0,3
252,Más de 5 años,300,2 veces al mes,"Efectivo, transferencia",No,No,Plataformas de pedidos en línea,Correo electrónico,Visitas personales,Muy satisfecho,Sí,Sí,2.0,20.0,9
253,Más de 5 años,50,1 vez a la semana,"Efectivo, transferencia ",No,No,Plataformas de pedidos en línea,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,100.0,80.0,8
254,Entre 6 meses y un año,1,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,10.0,10.0,7
255,Entre 1 y 3 años,10,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,13.0,15.0,8
256,Más de 5 años,150,15 dias,Efectivo,No,No,Terminal para el pago con tarjeta,Software o plataformas compartidas,"Visitas personales, Software o plataformas compartidas",Muy satisfecho,No,No,6.0,3.0,3
257,Más de 5 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito",No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,No,No,15.0,15.0,3
258,Más de 5 años,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Pollos de la Sierra,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo satisfecho,Sí,Sí,125.0,200.0,6
259,Más de 5 años,1,1 vez al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",ella realiza sus compras,Visitas personales,Algo satisfecho,No,No,3.0,1.0,10
260,Más de 5 años,100,1 cada 6 meses ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,8.0,30.0,5
261,Más de 5 años,2,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,No,No,10.0,10.0,10
262,Entre 1 y 3 años,570,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,30.0,10.0,5
263,Entre 1 y 3 años,200,1 vez a la semana,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Muy satisfecho,Sí,No,80.0,35.0,8
264,Más de 5 años,1,4 o 5 meses ,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)",No tiene provedores ,Visitas personales,Muy satisfecho,No,Sí,10.0,30.0,10
265,Más de 5 años,20,2 veces al año ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Muy satisfecho,Sí,Sí,10.0,30.0,8
266,Más de 5 años,350,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Inventario y computadora,Terminal para el pago con tarjeta,Páginas web,Visitas personales,Muy satisfecho,Sí,No,70.0,250.0,4
267,Más de 5 años,30,1 vez al día,"Efectivo, transferencia ",No,No,Terminal para el pago con tarjeta,Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,30.0,1.0,5
268,Más de 5 años,100,1 vez a la semana,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Software o plataformas compartidas",Visitas personales,Muy satisfecho,Sí,Sí,35.0,20.0,9
269,Más de 5 años,5,1 vez a la semana,"Efectivo, Tarjeta de debito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico",Algo satisfecho,No,No,8.0,10.0,10
270,Entre 3 y 5 años,45,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,6.0,3.0,1
271,Más de 5 años,5,1 vez al día,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Algo satisfecho,Sí,Sí,20.0,100.0,8
272,Más de 5 años,10,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Plataformas de pedidos en línea,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,No,40.0,20.0,10
273,Más de 5 años,200,1 vez al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,Visitas personales,Muy insatisfecho,No,No,15.0,50.0,5
274,Entre 0 y 6 meses,Mas de 500,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,Terminal para el pago con tarjeta,Mensajes de texto,No hace pedidos ,Algo satisfecho,Sí,No,30.0,50.0,6
275,Más de 5 años,100,1 vez al día,"Efectivo, Tarjeta de debito",Sí,No,Na,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas",Algo insatisfecho,Sí,Sí,20.0,25.0,5
276,Entre 3 y 5 años,100,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Redes sociales (Facebook, Instagram, otros)",Visitas personales,Algo satisfecho,Sí,No,10.0,50.0,8
277,Más de 5 años,1,1 vez al mes,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)",Mensajes de texto,Visitas personales,Muy satisfecho,No,No,50.0,50.0,10
278,Más de 5 años,10,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,7.0,2.0,9
279,Más de 5 años,8 y variedades,"Diario, busca el mismo sus productos","Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Recibo, trueque",Sí,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,10.0,35.0,7
280,Entre 1 y 3 años,40,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Mensajes de texto,"Visitas personales, Software o plataformas compartidas",Algo insatisfecho,No,Sí,200.0,39.9,6
281,Más de 5 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Transferencia ",No,Sí,Mercado pago,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,7.0,7.0,10
